journal;concept;topconcept
<http://data.gesis.org/softwarekg/PMC/journal/3543>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Environmental Science
<http://data.gesis.org/softwarekg/PMC/journal/3543>;Medicine (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/3543>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3543>;Medicine (miscellaneous);Environmental Science
<http://data.gesis.org/softwarekg/PMC/journal/3543>;Environmental Science (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/3543>;Environmental Science (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3543>;Environmental Science (miscellaneous);Environmental Science
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Medicine (miscellaneous);Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Medicine (miscellaneous);Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Medicine (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Analytical Chemistry;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Analytical Chemistry;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Analytical Chemistry;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Analytical Chemistry;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Chemistry (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Chemistry (miscellaneous);Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Chemistry (miscellaneous);Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Chemistry (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Drug Discovery;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Drug Discovery;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Drug Discovery;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Drug Discovery;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Pharmaceutical Science;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Pharmaceutical Science;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Pharmaceutical Science;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Pharmaceutical Science;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Physical and Theoretical Chemistry;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Physical and Theoretical Chemistry;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Physical and Theoretical Chemistry;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Physical and Theoretical Chemistry;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Organic Chemistry;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Organic Chemistry;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Organic Chemistry;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Organic Chemistry;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Molecular Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Molecular Medicine;Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Molecular Medicine;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/3708>;Molecular Medicine;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8855>;Cancer Research;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8855>;Cancer Research;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/8855>;Molecular Medicine;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8855>;Molecular Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/8855>;Oncology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8855>;Oncology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3905>;Public Health, Environmental and Occupational Health;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3905>;Public Health, Environmental and Occupational Health;Social Sciences
<http://data.gesis.org/softwarekg/PMC/journal/3905>;Health (social science);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3905>;Health (social science);Social Sciences
<http://data.gesis.org/softwarekg/PMC/journal/6057>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6057>;Cardiology and Cardiovascular Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/4138>;Infectious Diseases;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/4138>;Infectious Diseases;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/4138>;Virology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/4138>;Virology;Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/3243>;Hepatology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3243>;Gastroenterology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/452>;Molecular Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/452>;Biochemistry;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/452>;Cell Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/8587>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/8587>;Medicine (miscellaneous);Social Sciences
<http://data.gesis.org/softwarekg/PMC/journal/8587>;Education;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/8587>;Education;Social Sciences
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/6629>;Agricultural and Biological Sciences (miscellaneous);Biochemistry, Genetics and Molecular Biology
